DateTime,Entries,UniqueIPs
1496034929,363,363
1496038560,367,367
1496042145,368,368
1496045734,371,371
1496049370,369,369
1496052957,371,371
1496056546,367,367
1496060121,349,349
1496063757,361,361
1496067330,361,361
1496070946,366,366
1496074552,364,364
1496078169,361,361
1496081767,336,336
1496085324,366,366
1496088916,364,364
1496092548,361,361
1496096138,362,362
1496099693,364,364
1496103374,401,401
1496106907,407,407
1496110501,398,398
1496114135,370,370
1496117730,356,356
1496121335,356,356
1496124915,355,355
1496128515,351,351
1496132135,339,339
1496135731,355,355
1496139342,359,359
1496142937,363,363
1496146552,371,371
1496150107,355,355
1496153759,353,353
1496157327,367,367
1496160928,367,367
1496164510,367,367
1496168136,361,361
1496171689,346,346
1496175349,348,348
1496178938,339,339
1496182519,341,341
1496186129,340,340
1496189769,342,342
1496193290,352,352
1496196928,360,360
1496200509,344,344
1496204136,347,347
1496207725,357,357
1496211304,347,347
1496214927,337,337
1496218534,329,329
1496222150,338,338
1496225742,332,332
1496229278,348,348
1496232917,351,351
1496236531,351,351
1496240110,351,351
1496243750,348,348
1496247321,355,355
1496250946,351,351
1496254519,350,350
1496258124,345,345
1496261678,346,346
1496265307,352,352
1496269043,354,354
1496272522,360,360
1496276156,384,384
1496279698,386,386
1496283325,382,382
1496286903,361,361
1496290514,356,356
1496294169,353,353
1496297737,353,353
1496301331,336,336
1496304933,343,343
1496308561,359,359
1496312116,363,363
1496315760,364,364
1496319297,367,367
1496322937,356,356
1496326541,356,356
1496330155,355,355
1496333729,318,318
1496337333,314,314
1496340938,305,305
1496344532,313,313
1496348132,334,334
1496351760,339,339
1496355356,342,342
1496358899,342,342
1496362586,355,355
1496366117,359,359
1496369743,362,362
1496373364,347,347
1496376893,353,353
1496380545,348,348
1496384125,340,340
1496387723,348,348
1496391345,347,347
1496394946,355,355
1496398538,355,355
1496402170,335,335
1496405749,331,331
1496409317,339,339
1496412928,345,345
1496416521,342,342
1496420134,343,343
1496423726,348,348
1496427369,343,343
1496430901,329,329
1496434525,323,323
1496438164,335,335
1496441694,339,339
1496445353,328,328
1496448959,363,363
1496452482,360,360
1496456084,357,357
1496459683,351,351
1496463311,337,337
1496466894,340,340
1496470519,338,338
1496474144,328,328
1496477688,336,336
1496481310,339,339
1496484878,337,337
1496488472,346,346
1496492081,347,347
1496495715,354,354
1496499294,355,355
1496502896,344,344
1496506493,341,341
1496510109,338,338
1496513701,332,332
1496517301,323,323
1496520889,333,333
1496524487,341,341
1496528081,344,344
1496531708,339,339
1496535343,367,367
1496538895,367,367
1496542520,367,367
1496546071,352,352
1496549708,341,341
1496553316,336,336
1496556946,328,328
1496560491,334,334
1496564119,329,329
1496567671,338,338
1496571316,339,339
1496574889,334,334
1496578505,343,343
1496582131,339,339
1496585660,348,348
1496589290,335,335
1496592889,347,347
1496596495,352,352
1496600085,341,341
1496603703,343,343
1496607316,343,343
1496610924,331,331
1496614462,336,336
1496618094,316,316
1496621781,348,348
1496625315,353,353
1496628943,341,341
1496632543,327,327
1496636147,323,323
1496639697,327,327
1496643317,327,327
1496646929,329,329
1496650523,320,320
1496654136,319,319
1496657718,299,299
1496661325,312,312
1496664922,328,328
1496668562,327,327
1496672160,342,342
1496675729,339,339
1496679322,331,331
1496682949,331,331
1496686507,322,322
1496690137,332,332
1496693697,341,341
1496697286,343,343
1496700932,320,320
1496704493,332,332
1496708219,360,360
1496711678,366,366
1496715332,370,370
1496718945,341,341
1496722529,353,353
1496726123,347,347
1496729709,335,335
1496733280,356,356
1496736921,347,347
1496740502,354,354
1496744109,352,352
1496747652,354,354
1496751293,361,361
1496754885,363,363
1496758513,364,364
1496762111,361,361
1496765695,351,351
1496769307,338,338
1496772912,341,341
1496776543,335,335
1496780095,341,341
1496783674,350,350
1496787326,348,348
1496790908,346,346
1496794573,359,359
1496798101,353,353
1496801724,360,360
1496805284,330,330
1496808908,329,329
1496812477,350,350
1496816088,332,332
1496819730,341,341
1496823302,355,355
1496826890,353,353
1496830499,356,356
1496834126,356,356
1496837689,356,356
1496841310,356,356
1496844905,353,353
1496848537,342,342
1496852077,326,326
1496855747,304,304
1496859294,305,305
1496862905,312,312
1496866556,314,314
1496870104,331,331
1496873713,332,332
1496877288,363,363
1496880911,389,389
1496884537,393,393
1496888147,392,392
1496891726,366,366
1496895327,343,343
1496898914,345,345
1496902474,364,364
1496906171,353,353
1496909733,355,355
1496913304,358,358
1496916932,349,349
1496920552,343,343
1496924112,339,339
1496927724,335,335
1496931302,345,345
1496934933,360,360
1496938490,361,361
1496942117,367,367
1496945721,364,364
1496949339,355,355
1496952913,356,356
1496956502,354,354
1496960124,351,351
1496963714,337,337
1496967395,362,362
1496970911,351,351
1496974549,359,359
1496978107,356,356
1496981735,352,352
1496985298,360,360
1496988922,349,349
1496992539,347,347
1496996099,351,351
1496999720,347,347
1497003319,346,346
1497006904,345,345
1497010549,346,346
1497014137,332,332
1497017713,335,335
1497021367,331,331
1497024896,356,356
1497028485,365,365
1497032162,358,358
1497035719,355,355
1497039316,356,356
1497042912,358,358
1497046534,352,352
1497050114,340,340
1497053775,341,341
1497057320,356,356
1497060911,362,362
1497064480,345,345
1497068117,350,350
1497071689,355,355
1497075335,355,355
1497078897,355,355
1497082510,357,357
1497086091,356,356
1497089687,355,355
1497093312,355,355
1497096885,351,351
1497100500,351,351
1497104124,355,355
1497107741,351,351
1497111281,347,347
1497114940,343,343
1497118499,338,338
1497122107,338,338
1497125691,344,344
1497129316,352,352
1497132899,346,346
1497136506,349,349
1497140158,362,362
1497143724,353,353
1497147350,349,349
1497150904,327,327
1497154525,322,322
1497158101,331,331
1497161747,336,336
1497165335,337,337
1497168907,335,335
1497172498,339,339
1497176125,340,340
1497179716,335,335
1497183335,337,337
1497186934,335,335
1497190548,342,342
1497194136,336,336
1497197753,333,333
1497201332,340,340
1497204921,322,322
1497208546,336,336
1497212159,338,338
1497215728,335,335
1497219329,333,333
1497222922,322,322
1497226549,338,338
1497230097,318,318
1497233720,356,356
1497237244,336,336
1497240911,335,335
1497244517,326,326
1497248124,325,325
1497251683,330,330
1497255325,327,327
1497258938,332,332
1497262499,330,330
1497266105,327,327
1497269735,323,323
1497273319,317,317
1497276967,323,323
1497280529,315,315
1497284111,318,318
1497287701,331,331
1497291331,331,331
1497294940,334,334
1497298566,334,334
1497302077,340,340
1497305698,338,338
1497309333,341,341
1497312980,363,363
1497316498,361,361
1497320132,356,356
1497323720,348,348
1497327314,333,333
1497330914,320,320
1497334543,323,323
1497338097,311,311
1497341725,316,316
1497345326,305,305
1497348916,314,314
1497352533,300,300
1497356109,295,295
1497359715,297,297
1497363296,297,297
1497366974,301,301
1497370526,309,309
1497374130,309,309
1497377723,311,311
1497381345,315,315
1497384905,313,313
1497388562,314,314
1497392110,312,312
1497395703,315,315
1497399365,351,351
1497402895,348,348
1497406496,368,368
1497410087,349,349
1497413698,332,332
1497417349,325,325
1497420882,313,313
1497424513,342,342
1497428086,353,353
1497431709,344,344
1497435282,355,355
1497438904,356,356
1497442475,348,348
1497446125,338,338
1497449686,349,349
1497453286,349,349
1497456910,341,341
1497460496,350,350
1497464115,325,325
1497467693,325,325
1497471322,335,335
1497474889,325,325
1497478544,328,328
1497482130,328,328
1497485784,343,343
1497489340,338,338
1497492909,326,326
1497496485,324,324
1497500098,322,322
1497503687,319,319
1497507352,308,308
1497510892,323,323
1497514503,323,323
1497518101,321,321
1497521678,349,349
1497525290,357,357
1497528882,355,355
1497532500,358,358
1497536074,333,333
1497539694,330,330
1497543306,349,349
1497546914,350,350
1497550501,349,349
1497554109,355,355
1497557730,354,354
1497561291,345,345
1497564909,343,343
1497568508,314,314
1497572159,339,339
1497575691,338,338
1497579312,337,337
1497582890,334,334
1497586491,326,326
1497590091,334,334
1497593680,331,331
1497597322,329,329
1497600859,325,325
1497604501,324,324
1497608111,326,326
1497611685,330,330
1497615297,328,328
1497618887,330,330
1497622480,349,349
1497626087,349,349
1497629670,351,351
1497633297,339,339
1497636858,342,342
1497640493,336,336
1497644116,345,345
1497647686,331,331
1497651278,310,310
1497654900,312,312
1497658564,342,342
1497662091,342,342
1497665697,348,348
1497669318,311,311
1497672876,318,318
1497676491,320,320
1497680061,304,304
1497683706,325,325
1497687299,319,319
1497690901,324,324
1497694488,351,351
1497698119,344,344
1497701691,350,350
1497705266,353,353
1497708927,351,351
1497712493,351,351
1497716147,343,343
1497719701,344,344
1497723324,344,344
1497726904,352,352
1497730477,349,349
1497734068,351,351
1497737730,345,345
1497741321,353,353
1497744915,359,359
1497748491,373,373
1497752138,367,367
1497755732,348,348
1497759313,353,353
1497762908,348,348
1497766544,342,342
1497770112,339,339
1497773730,351,351
1497777318,345,345
1497780940,331,331
1497784549,325,325
1497788108,344,344
1497791695,345,345
1497795339,342,342
1497798879,356,356
1497802524,351,351
1497806111,358,358
1497809749,357,357
1497813294,350,350
1497816886,348,348
1497820518,349,349
1497824134,334,334
1497827688,348,348
1497831384,365,365
